composition	day	replicate	concentration (ppb)	8 (cells/ml)	10 (cells/ml)	17 (cells/ml)	18 (cells/ml)	E18 (cells/ml)	23 ( cells/ml)	31 (cells/ml)	32 (cells/ml)	NO3- (mg/l)	PO43- (mg/l)	Si (mg/l)	Atrazine (ppb)
8	0	1	0	6	0	0	0	0	0	0	0	NA	NA	NA	NA
8	0	2	0	6	0	0	0	0	0	0	0	NA	NA	NA	NA
8	0	3	0	12	0	0	0	0	0	0	0	NA	NA	NA	NA
8	0	1	25	6	0	0	0	0	0	0	0	NA	NA	NA	NA
8	0	2	25	6	0	0	0	0	0	0	0	NA	NA	NA	NA
8	0	3	25	12	0	0	0	0	0	0	0	NA	NA	NA	NA
8	0	1	250	12	0	0	0	0	0	0	0	NA	NA	NA	NA
8	0	2	250	23	0	0	0	0	0	0	0	NA	NA	NA	NA
8	0	3	250	6	0	0	0	0	0	0	0	NA	NA	NA	NA
31	0	1	0	0	0	0	0	0	0	615	0	NA	NA	NA	NA
31	0	2	0	0	0	0	0	0	0	496	0	NA	NA	NA	NA
31	0	3	0	0	0	0	0	0	0	349	0	NA	NA	NA	NA
31	0	1	25	0	0	0	0	0	0	386	0	NA	NA	NA	NA
31	0	2	25	0	0	0	0	0	0	505	0	NA	NA	NA	NA
31	0	3	25	0	0	0	0	0	0	367	0	NA	NA	NA	NA
31	0	1	250	0	0	0	0	0	0	312	0	NA	NA	NA	NA
31	0	2	250	0	0	0	0	0	0	468	0	NA	NA	NA	NA
31	0	3	250	0	0	0	0	0	0	431	0	NA	NA	NA	NA
18	0	1	0	0	0	0	28	0	0	0	0	NA	NA	NA	NA
18	0	2	0	0	0	0	37	0	0	0	0	NA	NA	NA	NA
18	0	3	0	0	0	0	56	0	0	0	0	NA	NA	NA	NA
18	0	1	25	0	0	0	28	0	0	0	0	NA	NA	NA	NA
18	0	2	25	0	0	0	46	0	0	0	0	NA	NA	NA	NA
18	0	3	25	0	0	0	138	0	0	0	0	NA	NA	NA	NA
18	0	1	250	0	0	0	10	0	0	0	0	NA	NA	NA	NA
18	0	2	250	0	0	0	37	0	0	0	0	NA	NA	NA	NA
18	0	3	250	0	0	0	19	0	0	0	0	NA	NA	NA	NA
23	0	1	0	0	0	0	0	0	1444	0	0	NA	NA	NA	NA
23	0	2	0	0	0	0	0	0	1926	0	0	NA	NA	NA	NA
23	0	3	0	0	0	0	0	0	2118	0	0	NA	NA	NA	NA
23	0	1	25	0	0	0	0	0	1128	0	0	NA	NA	NA	NA
23	0	2	25	0	0	0	0	0	1472	0	0	NA	NA	NA	NA
23	0	3	25	0	0	0	0	0	1486	0	0	NA	NA	NA	NA
23	0	1	250	0	0	0	0	0	1444	0	0	NA	NA	NA	NA
23	0	2	250	0	0	0	0	0	1486	0	0	NA	NA	NA	NA
23	0	3	250	0	0	0	0	0	1816	0	0	NA	NA	NA	NA
17	0	1	0	0	0	771	0	0	0	0	0	NA	NA	NA	NA
17	0	2	0	0	0	798	0	0	0	0	0	NA	NA	NA	NA
17	0	3	0	0	0	596	0	0	0	0	0	NA	NA	NA	NA
17	0	1	25	0	0	835	0	0	0	0	0	NA	NA	NA	NA
17	0	2	25	0	0	798	0	0	0	0	0	NA	NA	NA	NA
17	0	3	25	0	0	752	0	0	0	0	0	NA	NA	NA	NA
17	0	1	250	0	0	972	0	0	0	0	0	NA	NA	NA	NA
17	0	2	250	0	0	844	0	0	0	0	0	NA	NA	NA	NA
17	0	3	250	0	0	551	0	0	0	0	0	NA	NA	NA	NA
32	0	1	0	0	0	0	0	0	0	0	331	NA	NA	NA	NA
32	0	2	0	0	0	0	0	0	0	0	285	NA	NA	NA	NA
32	0	3	0	0	0	0	0	0	0	0	633	NA	NA	NA	NA
32	0	1	25	0	0	0	0	0	0	0	789	NA	NA	NA	NA
32	0	2	25	0	0	0	0	0	0	0	651	NA	NA	NA	NA
32	0	3	25	0	0	0	0	0	0	0	596	NA	NA	NA	NA
32	0	1	250	0	0	0	0	0	0	0	697	NA	NA	NA	NA
32	0	2	250	0	0	0	0	0	0	0	523	NA	NA	NA	NA
32	0	3	250	0	0	0	0	0	0	0	1101	NA	NA	NA	NA
10	0	1	0	0	294	0	0	0	0	0	0	NA	NA	NA	NA
10	0	2	0	0	257	0	0	0	0	0	0	NA	NA	NA	NA
10	0	3	0	0	285	0	0	0	0	0	0	NA	NA	NA	NA
10	0	1	25	0	184	0	0	0	0	0	0	NA	NA	NA	NA
10	0	2	25	0	340	0	0	0	0	0	0	NA	NA	NA	NA
10	0	3	25	0	551	0	0	0	0	0	0	NA	NA	NA	NA
10	0	1	250	0	276	0	0	0	0	0	0	NA	NA	NA	NA
10	0	2	250	0	257	0	0	0	0	0	0	NA	NA	NA	NA
10	0	3	250	0	129	0	0	0	0	0	0	NA	NA	NA	NA
E18	0	1	0	0	0	0	0	349	0	0	0	NA	NA	NA	NA
E18	0	2	0	0	0	0	0	312	0	0	0	NA	NA	NA	NA
E18	0	3	0	0	0	0	0	972	0	0	0	NA	NA	NA	NA
E18	0	1	25	0	0	0	0	514	0	0	0	NA	NA	NA	NA
E18	0	2	25	0	0	0	0	422	0	0	0	NA	NA	NA	NA
E18	0	3	25	0	0	0	0	541	0	0	0	NA	NA	NA	NA
E18	0	1	250	0	0	0	0	349	0	0	0	NA	NA	NA	NA
E18	0	2	250	0	0	0	0	312	0	0	0	NA	NA	NA	NA
E18	0	3	250	0	0	0	0	578	0	0	0	NA	NA	NA	NA
8/31	0	1	0	17	0	0	0	0	0	171	0	NA	NA	NA	NA
8/31	0	2	0	6	0	0	0	0	0	111	0	NA	NA	NA	NA
8/31	0	3	0	6	0	0	0	0	0	171	0	NA	NA	NA	NA
8/31	0	1	25	23	0	0	0	0	0	215	0	NA	NA	NA	NA
8/31	0	2	25	17	0	0	0	0	0	232	0	NA	NA	NA	NA
8/31	0	3	25	12	0	0	0	0	0	270	0	NA	NA	NA	NA
8/31	0	1	250	17	0	0	0	0	0	155	0	NA	NA	NA	NA
8/31	0	2	250	1	0	0	0	0	0	171	0	NA	NA	NA	NA
8/31	0	3	250	12	0	0	0	0	0	188	0	NA	NA	NA	NA
18/23	0	1	0	0	0	0	28	0	936	0	0	NA	NA	NA	NA
18/23	0	2	0	0	0	0	19	0	844	0	0	NA	NA	NA	NA
18/23	0	3	0	0	0	0	46	0	1119	0	0	NA	NA	NA	NA
18/23	0	1	25	0	0	0	19	0	908	0	0	NA	NA	NA	NA
18/23	0	2	25	0	0	0	10	0	1036	0	0	NA	NA	NA	NA
18/23	0	3	25	0	0	0	28	0	871	0	0	NA	NA	NA	NA
18/23	0	1	250	0	0	0	19	0	789	0	0	NA	NA	NA	NA
18/23	0	2	250	0	0	0	19	0	1000	0	0	NA	NA	NA	NA
18/23	0	3	250	0	0	0	28	0	1091	0	0	NA	NA	NA	NA
E18/23	0	1	0	0	0	0	0	147	945	0	0	NA	NA	NA	NA
E18/23	0	2	0	0	0	0	0	111	871	0	0	NA	NA	NA	NA
E18/23	0	3	0	0	0	0	0	92	899	0	0	NA	NA	NA	NA
E18/23	0	1	25	0	0	0	0	28	697	0	0	NA	NA	NA	NA
E18/23	0	2	25	0	0	0	0	120	431	0	0	NA	NA	NA	NA
E18/23	0	3	25	0	0	0	0	111	615	0	0	NA	NA	NA	NA
E18/23	0	1	250	0	0	0	0	211	596	0	0	NA	NA	NA	NA
E18/23	0	2	250	0	0	0	0	65	816	0	0	NA	NA	NA	NA
E18/23	0	3	250	0	0	0	0	193	395	0	0	NA	NA	NA	NA
31/32	0	1	0	0	0	0	0	0	0	276	642	NA	NA	NA	NA
31/32	0	2	0	0	0	0	0	0	0	92	688	NA	NA	NA	NA
31/32	0	3	0	0	0	0	0	0	0	193	734	NA	NA	NA	NA
31/32	0	1	25	0	0	0	0	0	0	367	954	NA	NA	NA	NA
31/32	0	2	25	0	0	0	0	0	0	386	789	NA	NA	NA	NA
31/32	0	3	25	0	0	0	0	0	0	303	551	NA	NA	NA	NA
31/32	0	1	250	0	0	0	0	0	0	193	386	NA	NA	NA	NA
31/32	0	2	250	0	0	0	0	0	0	239	386	NA	NA	NA	NA
31/32	0	3	250	0	0	0	0	0	0	294	303	NA	NA	NA	NA
17/32	0	1	0	0	0	606	0	0	0	0	578	NA	NA	NA	NA
17/32	0	2	0	0	0	606	0	0	0	0	262	NA	NA	NA	NA
17/32	0	3	0	0	0	922	0	0	0	0	647	NA	NA	NA	NA
17/32	0	1	25	0	0	564	0	0	0	0	234	NA	NA	NA	NA
17/32	0	2	25	0	0	867	0	0	0	0	468	NA	NA	NA	NA
17/32	0	3	25	0	0	936	0	0	0	0	399	NA	NA	NA	NA
17/32	0	1	250	0	0	509	0	0	0	0	482	NA	NA	NA	NA
17/32	0	2	250	0	0	894	0	0	0	0	331	NA	NA	NA	NA
17/32	0	3	250	0	0	1018	0	0	0	0	702	NA	NA	NA	NA
10/18	0	1	0	0	215	0	50	0	0	0	0	NA	NA	NA	NA
10/18	0	2	0	0	188	0	23	0	0	0	0	NA	NA	NA	NA
10/18	0	3	0	0	237	0	39	0	0	0	0	NA	NA	NA	NA
10/18	0	1	25	0	138	0	28	0	0	0	0	NA	NA	NA	NA
10/18	0	2	25	0	188	0	23	0	0	0	0	NA	NA	NA	NA
10/18	0	3	25	0	188	0	28	0	0	0	0	NA	NA	NA	NA
10/18	0	1	250	0	226	0	23	0	0	0	0	NA	NA	NA	NA
10/18	0	2	250	0	204	0	50	0	0	0	0	NA	NA	NA	NA
10/18	0	3	250	0	221	0	17	0	0	0	0	NA	NA	NA	NA
18/31	0	1	0	0	0	0	6	0	0	171	0	NA	NA	NA	NA
18/31	0	2	0	0	0	0	28	0	0	243	0	NA	NA	NA	NA
18/31	0	3	0	0	0	0	28	0	0	226	0	NA	NA	NA	NA
18/31	0	1	25	0	0	0	23	0	0	171	0	NA	NA	NA	NA
18/31	0	2	25	0	0	0	23	0	0	276	0	NA	NA	NA	NA
18/31	0	3	25	0	0	0	39	0	0	149	0	NA	NA	NA	NA
18/31	0	1	250	0	0	0	23	0	0	204	0	NA	NA	NA	NA
18/31	0	2	250	0	0	0	45	0	0	210	0	NA	NA	NA	NA
18/31	0	3	250	0	0	0	61	0	0	204	0	NA	NA	NA	NA
17/E18	0	1	0	0	0	1156	0	482	0	0	0	NA	NA	NA	NA
17/E18	0	2	0	0	0	1197	0	977	0	0	0	NA	NA	NA	NA
17/E18	0	3	0	0	0	1032	0	716	0	0	0	NA	NA	NA	NA
17/E18	0	1	25	0	0	949	0	551	0	0	0	NA	NA	NA	NA
17/E18	0	2	25	0	0	1156	0	729	0	0	0	NA	NA	NA	NA
17/E18	0	3	25	0	0	881	0	564	0	0	0	NA	NA	NA	NA
17/E18	0	1	250	0	0	688	0	152	0	0	0	NA	NA	NA	NA
17/E18	0	2	250	0	0	413	0	111	0	0	0	NA	NA	NA	NA
17/E18	0	3	250	0	0	647	0	152	0	0	0	NA	NA	NA	NA
8/17	0	1	0	14	0	750	0	0	0	0	0	NA	NA	NA	NA
8/17	0	2	0	21	0	489	0	0	0	0	0	NA	NA	NA	NA
8/17	0	3	0	7	0	516	0	0	0	0	0	NA	NA	NA	NA
8/17	0	1	25	21	0	777	0	0	0	0	0	NA	NA	NA	NA
8/17	0	2	25	28	0	571	0	0	0	0	0	NA	NA	NA	NA
8/17	0	3	25	7	0	434	0	0	0	0	0	NA	NA	NA	NA
8/17	0	1	250	21	0	392	0	0	0	0	0	NA	NA	NA	NA
8/17	0	2	250	7	0	544	0	0	0	0	0	NA	NA	NA	NA
8/17	0	3	250	21	0	743	0	0	0	0	0	NA	NA	NA	NA
10/E18	0	1	0	0	72	0	0	61	0	0	0	NA	NA	NA	NA
10/E18	0	2	0	0	188	0	0	78	0	0	0	NA	NA	NA	NA
10/E18	0	3	0	0	89	0	0	67	0	0	0	NA	NA	NA	NA
